,Entity,Code,Date,Total_confirmed_cases,Continent
54,Afghanistan,AFG,29-Apr-20,1827,AS
181,Albania,ALB,29-Apr-20,750,EU
240,Algeria,DZA,29-Apr-20,3649,AF
287,Andorra,AND,29-Apr-20,748,EU
326,Angola,AGO,29-Apr-20,27,AF
360,Anguilla,AIA,29-Apr-20,3,NA
401,Antigua and Barbuda,ATG,29-Apr-20,24,NA
455,Argentina,ARG,29-Apr-20,4114,SA
506,Armenia,ARM,29-Apr-20,1932,AS
544,Aruba,ABW,29-Apr-20,100,NA
869,Australia,AUS,29-Apr-20,6738,OC
933,Austria,AUT,29-Apr-20,15314,EU
987,Azerbaijan,AZE,29-Apr-20,1717,AS
1030,Bahamas,BHS,29-Apr-20,80,NA
1095,Bahrain,BHR,29-Apr-20,2811,AS
1141,Bangladesh,BGD,29-Apr-20,6462,AS
1184,Barbados,BRB,29-Apr-20,80,NA
1238,Belarus,BLR,29-Apr-20,12208,EU
1324,Belgium,BEL,29-Apr-20,47334,EU
1361,Belize,BLZ,29-Apr-20,18,NA
1405,Benin,BEN,29-Apr-20,64,AF
1446,Bermuda,BMU,29-Apr-20,110,NA
1493,Bhutan,BTN,29-Apr-20,7,AS
1541,Bolivia,BOL,29-Apr-20,1053,SA
1589,Bosnia and Herzegovina,BIH,29-Apr-20,1588,EU
1618,Botswana,BWA,29-Apr-20,23,AF
1682,Brazil,BRA,29-Apr-20,71886,SA
1716,British Virgin Islands,VGB,29-Apr-20,6,NA
1766,Brunei,BRN,29-Apr-20,138,AS
1817,Bulgaria,BGR,29-Apr-20,1399,EU
1865,Burkina Faso,BFA,29-Apr-20,638,AF
1894,Burundi,BDI,29-Apr-20,15,AF
1978,Cambodia,KHM,29-Apr-20,122,AS
2026,Cameroon,CMR,29-Apr-20,1806,AF
2121,Canada,CAN,29-Apr-20,50015,NA
2161,Cape Verde,CPV,29-Apr-20,113,AF
2202,Cayman Islands,CYM,29-Apr-20,70,NA
2247,Central African Republic,CAF,29-Apr-20,50,AF
2288,Chad,TCD,29-Apr-20,52,AF
2344,Chile,CHL,29-Apr-20,14365,SA
2465,China,CHN,29-Apr-20,83940,AS
2515,Colombia,COL,29-Apr-20,5949,SA
2560,Congo,COG,29-Apr-20,207,AF
2613,Costa Rica,CRI,29-Apr-20,705,NA
2660,Cote d'Ivoire,CIV,29-Apr-20,1183,AF
2721,Croatia,HRV,29-Apr-20,2047,EU
2767,Cuba,CUB,29-Apr-20,1437,NA
2804,Curacao,CUW,29-Apr-20,16,NA
2853,Cyprus,CYP,29-Apr-20,837,AS
2912,Czech Republic,CZE,29-Apr-20,7504,EU
2960,Democratic Republic of Congo,COD,29-Apr-20,491,AF
3023,Denmark,DNK,29-Apr-20,8851,EU
3065,Djibouti,DJI,29-Apr-20,1072,AF
3103,Dominica,DMA,29-Apr-20,16,NA
3153,Dominican Republic,DOM,29-Apr-20,6416,NA
3208,Ecuador,ECU,29-Apr-20,24258,SA
3279,Egypt,EGY,29-Apr-20,5042,AF
3321,El Salvador,SLV,29-Apr-20,345,NA
3367,Equatorial Guinea,GNQ,29-Apr-20,315,AF
3406,Eritrea,ERI,29-Apr-20,39,AF
3463,Estonia,EST,29-Apr-20,1660,EU
3510,Ethiopia,ETH,29-Apr-20,126,AF
3743,Faeroe Islands,FRO,29-Apr-20,187,EU
3769,Falkland Islands,FLK,29-Apr-20,13,SA
3810,Fiji,FJI,29-Apr-20,18,OC
3897,Finland,FIN,29-Apr-20,4740,EU
3993,France,FRA,29-Apr-20,126835,EU
4035,French Polynesia,PYF,29-Apr-20,58,OC
4082,Gabon,GAB,29-Apr-20,238,AF
4125,Gambia,GMB,29-Apr-20,10,AF
4185,Georgia,GEO,29-Apr-20,511,AS
4278,Germany,DEU,29-Apr-20,157641,EU
4325,Ghana,GHA,29-Apr-20,1671,AF
4366,Gibraltar,GIB,29-Apr-20,141,EU
4427,Greece,GRC,29-Apr-20,2534,EU
4468,Greenland,GRL,29-Apr-20,11,NA
4506,Grenada,GRD,29-Apr-20,18,NA
4548,Guam,GUM,29-Apr-20,145,OC
4594,Guatemala,GTM,29-Apr-20,557,NA
4635,Guernsey,GGY,29-Apr-20,247,EU
4681,Guinea,GIN,29-Apr-20,1240,AF
4715,Guinea-Bissau,GNB,29-Apr-20,73,AF
4761,Guyana,GUY,29-Apr-20,75,SA
4802,Haiti,HTI,29-Apr-20,76,NA
4955,Honduras,HND,29-Apr-20,738,NA
5010,Hungary,HUN,29-Apr-20,2727,EU
