,Entity,Code,Date,Total_confirmed_cases
545,Asia,,31-Dec-19,27
546,Asia,,1-Jan-20,27
547,Asia,,2-Jan-20,27
548,Asia,,3-Jan-20,44
549,Asia,,4-Jan-20,44
550,Asia,,5-Jan-20,59
551,Asia,,6-Jan-20,59
552,Asia,,7-Jan-20,59
553,Asia,,8-Jan-20,59
554,Asia,,9-Jan-20,59
555,Asia,,10-Jan-20,59
556,Asia,,11-Jan-20,59
557,Asia,,12-Jan-20,59
558,Asia,,13-Jan-20,60
559,Asia,,14-Jan-20,60
560,Asia,,15-Jan-20,61
561,Asia,,16-Jan-20,61
562,Asia,,17-Jan-20,66
563,Asia,,18-Jan-20,83
564,Asia,,19-Jan-20,219
565,Asia,,20-Jan-20,239
566,Asia,,21-Jan-20,391
567,Asia,,22-Jan-20,533
568,Asia,,23-Jan-20,630
569,Asia,,24-Jan-20,896
570,Asia,,25-Jan-20,1344
571,Asia,,26-Jan-20,2013
572,Asia,,27-Jan-20,2807
573,Asia,,28-Jan-20,4572
574,Asia,,29-Jan-20,6047
575,Asia,,30-Jan-20,7799
576,Asia,,31-Jan-20,9793
577,Asia,,1-Feb-20,11903
578,Asia,,2-Feb-20,14507
579,Asia,,3-Feb-20,17321
580,Asia,,4-Feb-20,20561
581,Asia,,5-Feb-20,24456
582,Asia,,6-Feb-20,28195
583,Asia,,7-Feb-20,31367
584,Asia,,8-Feb-20,34800
585,Asia,,9-Feb-20,37418
586,Asia,,10-Feb-20,40399
587,Asia,,11-Feb-20,42894
588,Asia,,12-Feb-20,44925
589,Asia,,13-Feb-20,60074
590,Asia,,14-Feb-20,64240
591,Asia,,15-Feb-20,66798
592,Asia,,16-Feb-20,68826
593,Asia,,17-Feb-20,70892
594,Asia,,18-Feb-20,72788
595,Asia,,19-Feb-20,74564
596,Asia,,20-Feb-20,75017
597,Asia,,21-Feb-20,75996
598,Asia,,22-Feb-20,77044
599,Asia,,23-Feb-20,77989
600,Asia,,24-Feb-20,78402
601,Asia,,25-Feb-20,79077
602,Asia,,26-Feb-20,79833
603,Asia,,27-Feb-20,80819
604,Asia,,28-Feb-20,81739
605,Asia,,29-Feb-20,83264
606,Asia,,1-Mar-20,84669
607,Asia,,2-Mar-20,85997
608,Asia,,3-Mar-20,87270
609,Asia,,4-Mar-20,88784
610,Asia,,5-Mar-20,90037
611,Asia,,6-Mar-20,91394
612,Asia,,7-Mar-20,93356
613,Asia,,8-Mar-20,94981
614,Asia,,9-Mar-20,96146
615,Asia,,10-Mar-20,97061
616,Asia,,11-Mar-20,98406
617,Asia,,12-Mar-20,100036
618,Asia,,13-Mar-20,101409
619,Asia,,14-Mar-20,103234
620,Asia,,15-Mar-20,105037
621,Asia,,16-Mar-20,106980
622,Asia,,17-Mar-20,108803
623,Asia,,18-Mar-20,110755
624,Asia,,19-Mar-20,112856
625,Asia,,20-Mar-20,115261
626,Asia,,21-Mar-20,117800
627,Asia,,22-Mar-20,120779
628,Asia,,23-Mar-20,123517
629,Asia,,24-Mar-20,126731
630,Asia,,25-Mar-20,130858
631,Asia,,26-Mar-20,135475
632,Asia,,27-Mar-20,140861
633,Asia,,28-Mar-20,147902
634,Asia,,29-Mar-20,155277
635,Asia,,30-Mar-20,162385
636,Asia,,31-Mar-20,169987
637,Asia,,1-Apr-20,177780
638,Asia,,2-Apr-20,186209
639,Asia,,3-Apr-20,195084
640,Asia,,4-Apr-20,201389
641,Asia,,5-Apr-20,213720
642,Asia,,6-Apr-20,223929
643,Asia,,7-Apr-20,233297
644,Asia,,8-Apr-20,242914
645,Asia,,9-Apr-20,252440
646,Asia,,10-Apr-20,262616
647,Asia,,11-Apr-20,273666
648,Asia,,12-Apr-20,286750
649,Asia,,13-Apr-20,298271
650,Asia,,14-Apr-20,310031
651,Asia,,15-Apr-20,321265
652,Asia,,16-Apr-20,332682
653,Asia,,17-Apr-20,345672
654,Asia,,18-Apr-20,357499
655,Asia,,19-Apr-20,369797
656,Asia,,20-Apr-20,382108
657,Asia,,21-Apr-20,396301
658,Asia,,22-Apr-20,409588
659,Asia,,23-Apr-20,421072
660,Asia,,24-Apr-20,434605
661,Asia,,25-Apr-20,446824
662,Asia,,26-Apr-20,460167
663,Asia,,27-Apr-20,471609
664,Asia,,28-Apr-20,482709
665,Asia,,29-Apr-20,494412
3511,Europe,,25-Jan-20,3
3512,Europe,,26-Jan-20,3
3513,Europe,,27-Jan-20,3
3514,Europe,,28-Jan-20,4
3515,Europe,,29-Jan-20,8
3516,Europe,,30-Jan-20,10
3517,Europe,,31-Jan-20,17
