"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2495403289795","17.4907379150391","20.9270858764648","24.44651222229","28.4166622161865","31.8401851654053","38.7004928588867","42.3045082092285","45.5877494812012","51.5532569885254","52.2185096740723","55.9675483703613","60.1127586364746","60.0888137817383","61.451286315918","67.1226501464844","","",
"Angola","AGO","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9630317687988","28.8542461395264","28.9613666534424","34.7182998657227","49.526725769043","53.9307022094727","69.4246978759766","92.4520111083984","135.208297729492","119.808624267578","96.6436996459961","122.117797851563","122.242942810059","143.703216552734","131.751876831055","108.680671691895","95.2208023071289","114.45964050293","","",
"Albania","ALB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050.6474609375","2081.275390625","2256.34912109375","2774.08959960938","3161.48217773438","3536.12280273438","3689.70556640625","4094.54443359375","4201.7294921875","3911.89599609375","3754.7314453125","4013.91186523438","3857.1611328125","4107.73388671875","4346.25830078125","3695.06787109375","3843.70288085938","4040.78662109375","","",
"Arab World","ARB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.81229122604","118.070826411421","117.329378863002","114.175483031044","125.044566219486","138.998382475587","160.551847840182","188.530537872535","220.00916553576","243.813368618176","248.849933874157","283.700733700505","305.844503473237","338.855585064889","366.917830116847","344.574985131653","339.580122579259","","","",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","781.816711425781","771.683532714844","850.951538085938","879.393920898438","890.3037109375","915.083801269531","985.329528808594","1094.84973144531","1340.03869628906","1339.4375","1359.02551269531","1483.96960449219","1441.55114746094","1556.31091308594","1613.37524414063","1401.97448730469","1310.92309570313","1357.01745605469","","",
"Argentina","ARG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705.199340820313","671.529479980469","222.621994018555","260.769989013672","309.740142822266","390.058441162109","447.361175537109","551.75","694.682434082031","742.843017578125","891.137756347656","1068.61059570313","1168.06579589844","1206.93286132813","1089.5","1305.39501953125","959.291564941406","1324.603515625","","",
"Armenia","ARM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1291160583496","32.2596740722656","59.6339797973633","66.7808151245117","72.1743774414063","96.3551635742188","126.244705200195","172.576080322266","266.256439208984","252.792526245117","297.229888916016","330.685577392578","336.590362548828","396.791107177734","406.592895507813","366.049224853516","358.842102050781","407.635864257813","","",
"American Samoa","ASM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","444.939422607422","497.096588134766","512.317687988281","569.649047851563","547.87109375","569.30419921875","598.273071289063","675.717956542969","650.105102539063","575.267456054688","631.5810546875","631.977661132813","649.831420898438","660.613830566406","677.602905273438","639.582702636719","632.175354003906","673.859680175781","","",
"Australia","AUS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1632.42761230469","1558.18737792969","1763.74072265625","2240.9521484375","2757.6318359375","3004.11474609375","3177.46069335938","3794.25170898438","4088.77807617188","3997.537109375","4952.77734375","5876.86572265625","6047.0576171875","5838.41357421875","5637.56689453125","4887.80078125","4999.810546875","5331.81787109375","","",
"Austria","AUT","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2263.49047851563","2280.5205078125","2486.12841796875","3084.31127929688","3588.20971679688","3708.92138671875","3879.533203125","4472.8466796875","5037.37158203125","4909.23291015625","4796.11328125","5161.05810546875","4966.37646484375","5233.853515625","5386.4248046875","4610.966796875","4718.9443359375","4939.87548828125","","",
"Azerbaijan","AZE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2740631103516","25.5586719512939","27.7648429870605","51.7454261779785","73.9177093505859","115.343185424805","140.069869995117","176.675109863281","224.397506713867","258.197570800781","279.262725830078","325.074127197266","368.656402587891","399.366943359375","432.871307373047","370.524536132813","259.436859130859","275.809356689453","","",
"Burundi","BDI","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.39959335327148","8.56499862670898","7.92316818237305","7.12364959716797","9.81227493286133","12.6766033172607","16.4947853088379","18.0736312866211","18.1265411376953","21.64768409729","26.1381664276123","24.8959045410156","21.3476390838623","21.8018951416016","20.4353446960449","19.3819789886475","22.3399829864502","23.5004329681396","","",
"Belgium","BEL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1845.32104492188","1878.29113769531","2074.923828125","2804.90844726563","3255.43774414063","3339.99267578125","3474.42578125","3988.88598632813","4539.73974609375","4566.75537109375","4449.54296875","4856.177734375","4614.677734375","4849.91357421875","4944.26123046875","4171.05322265625","4278.771484375","4507.3564453125","","",
"Benin","BEN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8283681869507","16.7596569061279","17.3903408050537","21.5393733978271","24.499979019165","24.1485252380371","25.4039611816406","27.90012550354","30.2089576721191","30.6014614105225","30.9864921569824","34.8711624145508","39.103401184082","35.7575836181641","34.4021606445313","31.2943897247314","30.4014759063721","30.7664470672607","","",
"Burkina Faso","BFA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.52564334869385","7.70798015594482","8.71375179290771","11.7484159469604","17.6122093200684","18.0862007141113","21.3547229766846","27.9667491912842","29.7836475372314","31.5908832550049","33.910816192627","34.8739547729492","34.8903427124023","43.7971343994141","39.591854095459","33.5147590637207","40.954662322998","44.403491973877","","",
"Bangladesh","BGD","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30501842498779","8.11180591583252","9.05813217163086","9.96350574493408","10.7473058700562","11.2513437271118","11.9584245681763","13.882960319519","15.3261365890503","17.3835544586182","20.177360534668","22.1570701599121","22.7478504180908","25.8596572875977","28.8341331481934","31.8414878845215","33.5261917114258","36.2823371887207","","",
"Bulgaria","BGR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.4974517822266","119.829978942871","148.147918701172","195.743698120117","233.113327026367","267.741394042969","294.108917236328","361.234985351563","455.540588378906","459.300201416016","484.752288818359","555.864196777344","558.64794921875","600.309692382813","666.401428222656","572.044860839844","612.478576660156","663.715087890625","","",
"Bahrain","BHR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","485.684265136719","484.904571533203","503.028686523438","567.23583984375","550.357116699219","570.291687011719","591.313781738281","692.987060546875","757.770812988281","785.291442871094","796.317138671875","805.240417480469","971.165649414063","1066.36645507813","1100.99145507813","1128.755859375","1099.3623046875","1127.18627929688","","",
"Bahamas, The","BHS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093.6083984375","1101.02429199219","1192.57202148438","1223.78430175781","1308.65417480469","1389.4013671875","1631.4384765625","1714.84460449219","1748.45056152344","1669.95056152344","1657.59289550781","1661.67797851563","1742.751953125","1697.33386230469","1689.11633300781","1741.91870117188","1837.2587890625","1771.53552246094","","",
"Bosnia and Herzegovina","BIH","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.030586242676","111.781616210938","126.856986999512","180.424133300781","243.42204284668","261.766662597656","302.384429931641","386.94580078125","481.739562988281","423.845947265625","415.883880615234","463.526214599609","447.609130859375","477.761688232422","492.135101318359","428.151885986328","443.776550292969","460.473327636719","","",
"Belarus","BLR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3083686828613","73.872932434082","86.54052734375","109.190841674805","141.858978271484","197.081954956055","222.471618652344","279.416870117188","349.712615966797","289.074737548828","341.774536132813","317.957794189453","363.762603759766","453.823852539063","447.701324462891","360.980377197266","297.542999267578","342.499908447266","","",
"Belize","BLZ","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139.305419921875","160.764785766602","160.028503417969","175.192733764648","174.804412841797","184.272598266602","192.710098266602","218.057556152344","226.361633300781","246.519104003906","250.305541992188","254.426956176758","249.524536132813","266.280303955078","273.134216308594","289.583984375","300.151733398438","280.498809814453","","",
"Bermuda","BMU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.262508392334","46.2366523742676","44.7325172424316","47.6761665344238","47.5762786865234","53.0969505310059","57.4963111877441","65.2692337036133","80.0165786743164","91.9431762695313","103.066841125488","122.999771118164","138.978881835938","164.337265014648","184.195602416992","201.564880371094","213.017333984375","220.274566650391","","",
"Brazil","BRA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","311.652679443359","269.346771240234","246.106033325195","250.510757446289","294.357666015625","383.304595947266","483.428283691406","599.858459472656","704.013244628906","718.029541015625","891.76416015625","1025.49035644531","950.929504394531","974.498718261719","1009.82867431641","776.15283203125","795.661560058594","928.79931640625","","",
"Barbados","BRB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","604.522766113281","623.492370605469","670.696166992188","787.913330078125","922.65478515625","943.541870117188","1009.48687744141","1024.98498535156","1117.53295898438","1146.35144042969","1097.62390136719","1145.17309570313","1273.41662597656","1258.09191894531","1177.75573730469","1158.3837890625","1163.77502441406","1183.83618164063","","",
"Brunei Darussalam","BRN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","508.432403564453","464.677032470703","473.111267089844","535.131958007813","619.131958007813","646.082336425781","654.713195800781","702.858520507813","788.966796875","741.55419921875","803.493774414063","876.43408203125","881.997741699219","846.619689941406","795.039367675781","739.225341796875","686.482360839844","671.411499023438","","",
"Bhutan","BTN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8420009613037","36.8015213012695","36.7108383178711","38.0027122497559","46.799633026123","47.1667976379395","54.0971641540527","63.9365844726563","56.3939476013184","58.0343742370605","69.8004379272461","74.4853210449219","80.1083068847656","81.9312362670898","82.3279800415039","91.113166809082","91.335334777832","96.7993011474609","","",
"Botswana","BWA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195.142547607422","192.580963134766","196.218276977539","257.126983642578","283.718872070313","268.584320068359","256.843536376953","304.708953857422","325.146453857422","338.365875244141","393.080139160156","432.334991455078","472.283752441406","435.769134521484","419.494750976563","373.78515625","386.631958007813","465.929321289063","","",
"Central African Republic","CAF","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4181661605835","9.15875911712646","10.5168590545654","12.8522338867188","13.0058488845825","15.4308233261108","15.5045433044434","18.9419269561768","18.3765087127686","19.5511951446533","16.7060680389404","18.7505397796631","18.7193641662598","16.3455638885498","18.3031616210938","21.9793529510498","16.3604354858398","24.1500549316406","","",
