,Country Name,hospital_beds per_thousand_2014,Health_expenditure per_capita_2017,Health_expenditure out_of_pocket per_capita_2017,Physicians per_thousand_2016,handwashing facilities%_2016,Total_tests per_thousand
0,Afghanistan,0.5,67.12265014648439,75.48257708549501,0.284,37.6665345570879,
1,Arab World,1.62452358185493,,,,70.0046593617885,
2,Argentina,5.0,1324.603515625,15.018527209758801,,,1.24
3,Antigua and Barbuda,3.8,673.859680175781,34.9848866462708,,,
4,Australia,3.8,5331.81787109375,18.1521028280258,3.5874,,21.35
5,Burundi,0.8,23.500432968139602,25.462976098060604,0.05,6.14208331884966,
6,Belgium,6.2,4507.3564453125,17.638222873210896,3.3234,,26.344
7,Bangladesh,0.6,36.2823371887207,73.88473749160771,0.4822,34.610907765859295,0.363
8,Bahrain,2.0,1127.18627929688,30.5521756410599,,,74.581
9,Belize,1.3,280.498809814453,24.1548627614975,,88.55672680959592,
10,Bolivia,1.1,220.274566650391,25.0778466463089,1.6111,25.352584318948804,0.5489999999999999
11,Brazil,2.2,928.79931640625,27.455493807792696,,,
12,Barbados,5.8,1183.83618164063,46.3035732507706,,88.46935060836859,
13,Colombia,1.5,459.197570800781,16.3084268569946,2.0036,65.25742477696011,1.9680000000000002
14,Costa Rica,1.1,869.077758789063,21.2553903460503,,,1.811
15,Cuba,5.2,987.6270141601559,10.482663661241501,,85.1926570114297,4.18
16,Djibouti,1.4,70.3308944702148,26.5042155981064,,,
17,Dominican Republic,1.6,433.208587646484,44.738197326660206,,55.042885420117706,
18,"Egypt, Arab Rep.",1.6,105.768455505371,60.0825130939484,0.8107,89.8283411933547,
19,Grenada,3.7,497.23605346679705,52.4138391017914,,,
20,Guatemala,0.6,259.935028076172,54.1341066360474,,76.6175064570315,
21,Guyana,1.6,230.527282714844,32.4706435203552,,77.161285627528,
22,Honduras,0.7,195.935745239258,48.7016767263412,0.6086,84.16925260932551,
23,Croatia,5.89,902.1396484375,10.973251610994302,2.9962,,8.398
24,"Iran, Islamic Rep.",1.5,475.47994995117205,41.756564378738396,,,
25,Iraq,1.4,210.31370544433602,58.0432951450348,0.84,93.98545788366091,
26,Iceland,3.2,6086.3115234375,16.480378806591002,3.8857,,141.749
27,Jordan,1.9,340.66180419921903,30.427426099777197,1.4099,,
28,Kuwait,2.0,1529.07763671875,12.615309655666401,,,
29,Latin America & Caribbean (excluding high income),2.1629051321494903,,,,,
30,Lebanon,2.9,719.443481445313,33.2187473773956,2.2485,,
31,Libya,3.7,,,,,
32,Latin America & Caribbean,2.17327725929248,,,,,
33,Luxembourg,4.9,5782.62841796875,10.689541697502099,2.9234,,66.709
34,Morocco,1.1,161.01086425781298,53.936213254928596,,,0.892
35,Middle East & North Africa,1.62848507118594,,,,,
36,Malta,4.7,2585.56396484375,34.7537875175476,,,
37,Middle East & North Africa (excluding high income),1.51669671692738,,,,,
38,Nicaragua,0.9,192.083389282227,32.5990498065948,,,
39,Oman,1.6,587.646301269531,6.69259130954742,2.0184,,
40,Pakistan,0.6,44.5929641723633,60.2368772029877,,59.5295528975539,0.7509999999999999
41,Peru,1.6,332.570922851563,28.188258409500104,1.27,,8.116
42,Qatar,1.2,1649.18615722656,8.902657777071001,2.7831,,31.73
43,Saudi Arabia,2.7,1093.40551757813,16.859786212444302,2.39,,
44,El Salvador,1.3,282.49102783203097,29.196450114250197,1.569,90.6021621258625,3.7089999999999996
45,Somalia,0.9,,,,9.808824020088359,
46,Syrian Arab Republic,1.5,,,1.22,70.5785384215441,
47,Latin America & the Caribbean (IDA & IBRD countries),2.08967547696012,,,,,
