"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.3756070137024","86.0691905021667","84.5275938510895","78.9700865745544","76.8249750137329","78.1699895858765","75.4033863544464","72.779244184494","78.9966523647308","73.2551693916321","74.4862079620361","72.0478653907776","73.0559229850769","78.3822953701019","75.9743332862854","75.482577085495","","",
"Angola","AGO","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3046880960464","45.0910866260529","49.6620506048203","48.5106885433197","46.8910992145538","42.3326551914215","30.6657016277313","28.3839702606201","21.6532379388809","15.5089050531387","19.3437561392784","17.9938092827797","17.6191776990891","21.3492780923843","26.8761664628983","33.523166179657","35.2089315652847","34.1210126876831","","",
"Albania","ALB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8947877883911","47.42711186409","48.1156915426254","51.0664284229279","52.9277861118317","50.495833158493","50.9213507175446","50.7032454013824","48.4137952327728","46.611362695694","45.4321920871735","44.3996131420136","43.8894897699356","43.2765901088715","42.8039580583572","42.3558264970779","41.7908906936646","41.7770534753799","","",
"Arab World","ARB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6351679556105","35.7310045677945","36.2772556423585","35.541650231479","35.3479372691781","34.9392986940257","34.0798339889543","34.62290131588","34.5982352407433","31.3552860499509","33.0512097062039","30.8845109524647","31.4840397259417","30.7418710484407","28.8884807971799","31.0896274297721","31.3138635156071","","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0834344625473","15.0859326124191","28.0415087938309","27.4569302797318","30.4083794355392","30.1391899585724","29.7096073627472","28.8762509822845","25.1365184783936","16.1003693938255","17.9457440972328","16.8840378522873","16.7388036847115","17.1557947993279","17.8078263998032","17.7896499633789","19.1577389836311","18.8674405217171","","",
"Argentina","ARG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1043311357498","29.4743984937668","29.9938976764679","28.2498925924301","27.6296317577362","33.0679148435593","31.6044449806213","29.2690306901932","25.6215631961823","22.537387907505","19.7093725204468","17.9976493120193","14.111852645874","14.4944190979004","14.5583495497704","13.7893319129944","15.9830957651138","15.0185272097588","","",
"Armenia","ARM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0109558105469","50.8796036243439","75.2344965934753","76.4255523681641","71.5887069702148","62.9359185695648","61.1735701560974","58.2291841506958","71.4370131492615","73.6329257488251","77.6241302490234","78.4196674823761","78.5872995853424","82.8755736351013","82.4813663959503","81.629878282547","80.6468784809113","84.348076581955","","",
"American Samoa","ASM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.284150660038","23.4170988202095","22.1595719456673","22.3154559731483","23.6583486199379","27.2046566009521","30.0843447446823","30.7415455579758","30.5415421724319","24.0889579057693","25.5068600177765","26.3831704854965","28.1195044517517","26.9559741020203","27.7604818344116","25.9837120771408","31.7270368337631","34.9848866462708","","",
"Australia","AUS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.997080206871","20.4388156533241","19.9200809001923","19.1478535532951","19.218485057354","19.6429833769798","19.7495877742767","19.0025001764297","19.0417304635048","19.0527006983757","19.7492718696594","19.1725254058838","19.934207201004","19.7154209017754","19.5582702755928","18.9466014504433","18.3377906680107","18.1521028280258","","",
"Austria","AUT","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8222194314003","18.4629574418068","18.6132863163948","18.8883692026138","19.3019047379494","19.1832602024078","18.8062772154808","18.8061386346817","18.243932723999","18.0512860417366","18.6016261577606","18.7395632266998","18.6740919947624","19.1712513566017","19.0981760621071","19.0911129117012","19.3011283874512","19.2032665014267","","",
"Azerbaijan","AZE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8938431739807","77.2031307220459","79.1090667247772","85.3772938251495","87.0110809803009","87.0997130870819","83.9685499668121","79.2751669883728","77.4432718753815","77.0331919193268","77.3955523967743","77.5921046733856","75.57213306427","77.8614103794098","78.1054854393005","79.4463276863098","81.5710306167603","83.8561415672302","","",
"Burundi","BDI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7869329452515","40.3045892715454","41.2000685930252","41.9656962156296","35.5601191520691","35.1700872182846","34.8143070936203","35.7070356607437","35.9579682350159","31.6275537014008","28.2003074884415","25.4752427339554","22.6936638355255","21.0843950510025","29.9224525690079","30.8293700218201","25.216668844223","25.4629760980606","","",
"Belgium","BEL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2272281050682","19.5882648229599","20.8710953593254","20.615616440773","18.6763271689415","17.933700978756","18.6618074774742","19.2107081413269","18.4340447187424","18.164536356926","18.1727066636086","18.1752175092697","17.7340820431709","18.0322632193565","17.4903407692909","17.5399124622345","17.8647503256798","17.6382228732109","","",
"Benin","BEN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4986624717712","50.0599801540375","52.734249830246","53.0671656131744","51.1103808879852","51.0779857635498","50.5469262599945","49.0419089794159","47.3590314388275","46.0666835308075","45.0661718845367","43.6743438243866","37.4064475297928","42.312091588974","44.0125435590744","40.4965877532959","43.4832900762558","44.979926943779","","",
"Burkina Faso","BFA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1600818634033","42.7293837070465","38.2758289575577","33.3869278430939","30.4388403892517","30.7122558355331","30.852597951889","27.3934721946716","30.9570103883743","31.4406901597977","30.1687330007553","32.8817009925842","32.3835670948029","33.5373312234879","34.0784758329391","36.0298007726669","31.3830941915512","31.6775947809219","","",
"Bangladesh","BGD","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0953211784363","65.140163898468","62.2935891151428","62.387627363205","62.5052392482758","64.8548603057861","65.0752663612366","65.8163249492645","67.1635389328003","67.2367036342621","67.2104001045227","67.3722267150879","67.4690961837769","68.5146629810333","69.9314594268799","71.8163371086121","73.1260061264038","73.8847374916077","","",
"Bulgaria","BGR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3757005929947","43.7061280012131","39.7943943738937","38.0608290433884","39.2032593488693","38.8674139976501","42.6474064588547","42.5927013158798","42.6291882991791","44.3673431873322","43.1413441896439","44.4637268781662","47.7468073368073","47.1014887094498","45.8127737045288","47.668269276619","47.9540467262268","46.5525686740875","","",
"Bahrain","BHR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7922053337097","25.3538280725479","25.7226079702377","31.4931005239487","30.9007465839386","28.192526102066","27.0949095487595","30.1591247320175","27.2206842899323","28.3478558063507","28.4604609012604","28.4358501434326","26.8039226531982","26.9046038389206","26.1759996414185","25.8403867483139","27.9878586530685","30.5521756410599","","",
"Bahamas, The","BHS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1802631616592","20.9732174873352","22.7832451462746","24.8443990945816","26.2986421585083","29.5108407735825","27.5604784488678","29.8106104135513","28.869366645813","27.8437793254852","28.4227460622787","28.4017205238342","28.687247633934","28.58025431633","30.052924156189","26.8609613180161","27.6852458715439","30.9824675321579","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5919024944305","38.8839811086655","36.035293340683","30.3841710090637","42.7006781101227","45.2000588178635","44.9970871210098","44.2706674337387","43.9129948616028","30.6183159351349","30.0758630037308","29.4684857130051","29.2125701904297","28.9624869823456","28.9667963981628","28.8411110639572","28.6827325820923","29.1393101215363","","",
