Entity,Code,Date,Total confirmed cases ,,,,,
Afghanistan,AFG,25-Feb-20,1,,,,,
Afghanistan,AFG,26-Feb-20,1,,,,,
Afghanistan,AFG,27-Feb-20,1,,,,,
Afghanistan,AFG,28-Feb-20,1,,,,,
Afghanistan,AFG,29-Feb-20,1,,,,,
Afghanistan,AFG,1-Mar-20,1,,,,,
Afghanistan,AFG,2-Mar-20,1,,,,,
Afghanistan,AFG,8-Mar-20,4,,,,,
Afghanistan,AFG,11-Mar-20,7,,,,,
Afghanistan,AFG,15-Mar-20,10,,,,,
Afghanistan,AFG,16-Mar-20,16,,,,,
Afghanistan,AFG,17-Mar-20,21,,,,,
Afghanistan,AFG,18-Mar-20,22,,,,,
Afghanistan,AFG,19-Mar-20,22,,,,,
Afghanistan,AFG,20-Mar-20,22,,,,,
Afghanistan,AFG,21-Mar-20,24,,,,,
Afghanistan,AFG,22-Mar-20,24,,,,,
Afghanistan,AFG,23-Mar-20,34,,,,,
Afghanistan,AFG,24-Mar-20,40,,,,,
Afghanistan,AFG,25-Mar-20,42,,,,,
Afghanistan,AFG,26-Mar-20,75,,,,,
Afghanistan,AFG,27-Mar-20,75,,,,,
Afghanistan,AFG,28-Mar-20,91,,,,,
Afghanistan,AFG,29-Mar-20,106,,,,,
Afghanistan,AFG,30-Mar-20,114,,,,,
Afghanistan,AFG,31-Mar-20,141,,,,,
Afghanistan,AFG,1-Apr-20,166,,,,,
Afghanistan,AFG,2-Apr-20,192,,,,,
Afghanistan,AFG,3-Apr-20,235,,,,,
Afghanistan,AFG,4-Apr-20,235,,,,,
Afghanistan,AFG,5-Apr-20,270,,,,,
Afghanistan,AFG,6-Apr-20,299,,,,,
Afghanistan,AFG,7-Apr-20,337,,,,,
Afghanistan,AFG,8-Apr-20,367,,,,,
Afghanistan,AFG,9-Apr-20,423,,,,,
Afghanistan,AFG,10-Apr-20,484,,,,,
Afghanistan,AFG,11-Apr-20,521,,,,,
Afghanistan,AFG,12-Apr-20,555,,,,,
Afghanistan,AFG,13-Apr-20,607,,,,,
Afghanistan,AFG,14-Apr-20,665,,,,,
Afghanistan,AFG,15-Apr-20,714,,,,,
Afghanistan,AFG,16-Apr-20,784,,,,,
Afghanistan,AFG,17-Apr-20,794,,,,,
Afghanistan,AFG,18-Apr-20,845,,,,,
Afghanistan,AFG,19-Apr-20,908,,,,,
Afghanistan,AFG,20-Apr-20,996,,,,,
Afghanistan,AFG,21-Apr-20,1031,,,,,
Afghanistan,AFG,22-Apr-20,1092,,,,,
Afghanistan,AFG,23-Apr-20,1176,,,,,
Afghanistan,AFG,24-Apr-20,1281,,,,,
Afghanistan,AFG,25-Apr-20,1351,,,,,
Afghanistan,AFG,26-Apr-20,1463,,,,,
Afghanistan,AFG,27-Apr-20,1531,,,,,
Afghanistan,AFG,28-Apr-20,1703,,,,,
Afghanistan,AFG,29-Apr-20,1827,,,,,
Africa,,15-Feb-20,1,,,,,
Africa,,16-Feb-20,1,,,,,
Africa,,17-Feb-20,1,,,,,
Africa,,18-Feb-20,1,,,,,
Africa,,19-Feb-20,1,,,,,
Africa,,20-Feb-20,1,,,,,
Africa,,21-Feb-20,1,,,,,
Africa,,22-Feb-20,1,,,,,
Africa,,23-Feb-20,1,,,,,
Africa,,24-Feb-20,1,,,,,
Africa,,25-Feb-20,1,,,,,
Africa,,26-Feb-20,2,,,,,
Africa,,27-Feb-20,2,,,,,
Africa,,28-Feb-20,3,,,,,
Africa,,29-Feb-20,3,,,,,
Africa,,1-Mar-20,5,,,,,
Africa,,2-Mar-20,6,,,,,
Africa,,3-Mar-20,9,,,,,
Africa,,4-Mar-20,11,,,,,
Africa,,5-Mar-20,20,,,,,
Africa,,6-Mar-20,29,,,,,
Africa,,7-Mar-20,43,,,,,
Africa,,8-Mar-20,44,,,,,
Africa,,9-Mar-20,83,,,,,
Africa,,10-Mar-20,95,,,,,
Africa,,11-Mar-20,105,,,,,
Africa,,12-Mar-20,118,,,,,
Africa,,13-Mar-20,159,,,,,
Africa,,14-Mar-20,202,,,,,
Africa,,15-Mar-20,239,,,,,
Africa,,16-Mar-20,324,,,,,
Africa,,17-Mar-20,402,,,,,
Africa,,18-Mar-20,494,,,,,
Africa,,19-Mar-20,633,,,,,
Africa,,20-Mar-20,744,,,,,
Africa,,21-Mar-20,975,,,,,
Africa,,22-Mar-20,1176,,,,,
Africa,,23-Mar-20,1389,,,,,
Africa,,24-Mar-20,1738,,,,,
Africa,,25-Mar-20,2203,,,,,
Africa,,26-Mar-20,2690,,,,,
Africa,,27-Mar-20,3278,,,,,
Africa,,28-Mar-20,3804,,,,,
Africa,,29-Mar-20,4124,,,,,
Africa,,30-Mar-20,4629,,,,,
Africa,,31-Mar-20,5137,,,,,
Africa,,1-Apr-20,5626,,,,,
Africa,,2-Apr-20,6248,,,,,
Africa,,3-Apr-20,6883,,,,,
Africa,,4-Apr-20,7508,,,,,
Africa,,5-Apr-20,8440,,,,,
Africa,,6-Apr-20,9175,,,,,
Africa,,7-Apr-20,9802,,,,,
Africa,,8-Apr-20,10524,,,,,
Africa,,9-Apr-20,11446,,,,,
Africa,,10-Apr-20,12280,,,,,
Africa,,11-Apr-20,12952,,,,,
Africa,,12-Apr-20,13666,,,,,
Africa,,13-Apr-20,14522,,,,,
Africa,,14-Apr-20,15291,,,,,
Africa,,15-Apr-20,16281,,,,,
Africa,,16-Apr-20,17243,,,,,
Africa,,17-Apr-20,18329,,,,,
Africa,,18-Apr-20,19897,,,,,
Africa,,19-Apr-20,21057,,,,,
Africa,,20-Apr-20,22303,,,,,
Africa,,21-Apr-20,23267,,,,,
Africa,,22-Apr-20,24617,,,,,
Africa,,23-Apr-20,25686,,,,,
Africa,,24-Apr-20,27221,,,,,
Africa,,25-Apr-20,29075,,,,,
Africa,,26-Apr-20,30316,,,,,
Africa,,27-Apr-20,31748,,,,,
Africa,,28-Apr-20,33164,,,,,
Africa,,29-Apr-20,34934,,,,,
Albania,ALB,9-Mar-20,2,,,,,
Albania,ALB,10-Mar-20,6,,,,,
Albania,ALB,11-Mar-20,10,,,,,
Albania,ALB,12-Mar-20,11,,,,,
Albania,ALB,13-Mar-20,23,,,,,
Albania,ALB,14-Mar-20,33,,,,,
Albania,ALB,15-Mar-20,38,,,,,
Albania,ALB,16-Mar-20,42,,,,,
Albania,ALB,17-Mar-20,51,,,,,
Albania,ALB,18-Mar-20,55,,,,,
Albania,ALB,19-Mar-20,59,,,,,
Albania,ALB,20-Mar-20,70,,,,,
Albania,ALB,21-Mar-20,70,,,,,
Albania,ALB,22-Mar-20,76,,,,,
Albania,ALB,23-Mar-20,89,,,,,
Albania,ALB,24-Mar-20,100,,,,,
Albania,ALB,25-Mar-20,123,,,,,
Albania,ALB,26-Mar-20,146,,,,,
Albania,ALB,27-Mar-20,174,,,,,
Albania,ALB,28-Mar-20,186,,,,,
Albania,ALB,29-Mar-20,197,,,,,
Albania,ALB,30-Mar-20,212,,,,,
Albania,ALB,31-Mar-20,223,,,,,
Albania,ALB,1-Apr-20,243,,,,,
Albania,ALB,2-Apr-20,259,,,,,
Albania,ALB,3-Apr-20,277,,,,,
Albania,ALB,4-Apr-20,304,,,,,
Albania,ALB,5-Apr-20,333,,,,,
Albania,ALB,6-Apr-20,361,,,,,
Albania,ALB,7-Apr-20,377,,,,,
Albania,ALB,8-Apr-20,383,,,,,
Albania,ALB,9-Apr-20,400,,,,,
Albania,ALB,10-Apr-20,409,,,,,
Albania,ALB,11-Apr-20,416,,,,,
Albania,ALB,12-Apr-20,433,,,,,
Albania,ALB,13-Apr-20,446,,,,,
Albania,ALB,14-Apr-20,467,,,,,
Albania,ALB,15-Apr-20,475,,,,,
Albania,ALB,16-Apr-20,494,,,,,
Albania,ALB,17-Apr-20,518,,,,,
Albania,ALB,18-Apr-20,539,,,,,
Albania,ALB,19-Apr-20,548,,,,,
Albania,ALB,20-Apr-20,562,,,,,
Albania,ALB,21-Apr-20,584,,,,,
Albania,ALB,22-Apr-20,609,,,,,
Albania,ALB,23-Apr-20,634,,,,,
Albania,ALB,24-Apr-20,663,,,,,
Albania,ALB,25-Apr-20,678,,,,,
Albania,ALB,26-Apr-20,712,,,,,
Albania,ALB,27-Apr-20,726,,,,,
Albania,ALB,28-Apr-20,736,,,,,
Albania,ALB,29-Apr-20,750,,,,,
Algeria,DZA,26-Feb-20,1,,,,,
Algeria,DZA,27-Feb-20,1,,,,,
Algeria,DZA,28-Feb-20,1,,,,,
Algeria,DZA,29-Feb-20,1,,,,,
Algeria,DZA,1-Mar-20,3,,,,,
Algeria,DZA,2-Mar-20,3,,,,,
Algeria,DZA,4-Mar-20,5,,,,,
Algeria,DZA,5-Mar-20,12,,,,,
Algeria,DZA,6-Mar-20,17,,,,,
Algeria,DZA,9-Mar-20,20,,,,,
Algeria,DZA,12-Mar-20,20,,,,,
Algeria,DZA,13-Mar-20,25,,,,,
Algeria,DZA,14-Mar-20,26,,,,,
Algeria,DZA,15-Mar-20,37,,,,,
Algeria,DZA,16-Mar-20,48,,,,,
Algeria,DZA,17-Mar-20,58,,,,,
Algeria,DZA,18-Mar-20,60,,,,,
Algeria,DZA,19-Mar-20,72,,,,,
Algeria,DZA,20-Mar-20,90,,,,,
Algeria,DZA,21-Mar-20,102,,,,,
Algeria,DZA,22-Mar-20,139,,,,,
Algeria,DZA,23-Mar-20,201,,,,,
Algeria,DZA,24-Mar-20,230,,,,,
Algeria,DZA,25-Mar-20,264,,,,,
Algeria,DZA,26-Mar-20,302,,,,,
Algeria,DZA,27-Mar-20,367,,,,,
Algeria,DZA,28-Mar-20,409,,,,,
Algeria,DZA,29-Mar-20,454,,,,,
Algeria,DZA,30-Mar-20,511,,,,,
Algeria,DZA,31-Mar-20,584,,,,,
Algeria,DZA,1-Apr-20,716,,,,,
Algeria,DZA,2-Apr-20,847,,,,,
Algeria,DZA,3-Apr-20,986,,,,,
Algeria,DZA,4-Apr-20,1171,,,,,
Algeria,DZA,5-Apr-20,1251,,,,,
Algeria,DZA,6-Apr-20,1320,,,,,
Algeria,DZA,7-Apr-20,1423,,,,,
Algeria,DZA,8-Apr-20,1468,,,,,
Algeria,DZA,9-Apr-20,1572,,,,,
Algeria,DZA,10-Apr-20,1666,,,,,
Algeria,DZA,11-Apr-20,1761,,,,,
Algeria,DZA,12-Apr-20,1825,,,,,
Algeria,DZA,13-Apr-20,1914,,,,,
Algeria,DZA,14-Apr-20,1983,,,,,
Algeria,DZA,15-Apr-20,2070,,,,,
Algeria,DZA,16-Apr-20,2160,,,,,
Algeria,DZA,17-Apr-20,2268,,,,,
Algeria,DZA,18-Apr-20,2418,,,,,
Algeria,DZA,19-Apr-20,2535,,,,,
Algeria,DZA,20-Apr-20,2629,,,,,
Algeria,DZA,21-Apr-20,2718,,,,,
Algeria,DZA,22-Apr-20,2811,,,,,
Algeria,DZA,23-Apr-20,2910,,,,,
Algeria,DZA,24-Apr-20,3007,,,,,
Algeria,DZA,25-Apr-20,3127,,,,,
Algeria,DZA,26-Apr-20,3256,,,,,
Algeria,DZA,27-Apr-20,3382,,,,,
Algeria,DZA,28-Apr-20,3517,,,,,
Algeria,DZA,29-Apr-20,3649,,,,,
Andorra,AND,3-Mar-20,1,,,,,
Andorra,AND,14-Mar-20,2,,,,,
Andorra,AND,16-Mar-20,5,,,,,
Andorra,AND,17-Mar-20,14,,,,,
Andorra,AND,18-Mar-20,14,,,,,
Andorra,AND,19-Mar-20,53,,,,,
Andorra,AND,20-Mar-20,75,,,,,
Andorra,AND,21-Mar-20,75,,,,,
Andorra,AND,22-Mar-20,88,,,,,
Andorra,AND,23-Mar-20,113,,,,,
Andorra,AND,24-Mar-20,133,,,,,
Andorra,AND,25-Mar-20,164,,,,,
Andorra,AND,26-Mar-20,188,,,,,
Andorra,AND,27-Mar-20,224,,,,,
Andorra,AND,28-Mar-20,267,,,,,
Andorra,AND,29-Mar-20,308,,,,,
Andorra,AND,30-Mar-20,334,,,,,
Andorra,AND,31-Mar-20,370,,,,,
Andorra,AND,1-Apr-20,376,,,,,
Andorra,AND,2-Apr-20,390,,,,,
Andorra,AND,3-Apr-20,428,,,,,
Andorra,AND,4-Apr-20,439,,,,,
Andorra,AND,5-Apr-20,466,,,,,
Andorra,AND,6-Apr-20,501,,,,,
Andorra,AND,7-Apr-20,526,,,,,
Andorra,AND,8-Apr-20,545,,,,,
Andorra,AND,9-Apr-20,564,,,,,
Andorra,AND,10-Apr-20,583,,,,,
Andorra,AND,11-Apr-20,601,,,,,
Andorra,AND,12-Apr-20,622,,,,,
Andorra,AND,13-Apr-20,638,,,,,
Andorra,AND,14-Apr-20,646,,,,,
Andorra,AND,15-Apr-20,659,,,,,
Andorra,AND,16-Apr-20,673,,,,,
Andorra,AND,17-Apr-20,682,,,,,
Andorra,AND,18-Apr-20,696,,,,,
Andorra,AND,19-Apr-20,704,,,,,
Andorra,AND,20-Apr-20,713,,,,,
Andorra,AND,21-Apr-20,717,,,,,
Andorra,AND,22-Apr-20,717,,,,,
Andorra,AND,23-Apr-20,723,,,,,
Andorra,AND,24-Apr-20,724,,,,,
Andorra,AND,25-Apr-20,731,,,,,
Andorra,AND,26-Apr-20,733,,,,,
Andorra,AND,27-Apr-20,740,,,,,
Andorra,AND,28-Apr-20,743,,,,,
Andorra,AND,29-Apr-20,748,,,,,
Angola,AGO,22-Mar-20,2,,,,,
Angola,AGO,23-Mar-20,2,,,,,
Angola,AGO,24-Mar-20,2,,,,,
Angola,AGO,25-Mar-20,2,,,,,
Angola,AGO,26-Mar-20,2,,,,,
Angola,AGO,27-Mar-20,3,,,,,
Angola,AGO,28-Mar-20,4,,,,,
Angola,AGO,29-Mar-20,4,,,,,
Angola,AGO,30-Mar-20,7,,,,,
Angola,AGO,31-Mar-20,7,,,,,
Angola,AGO,1-Apr-20,7,,,,,
Angola,AGO,2-Apr-20,8,,,,,
Angola,AGO,3-Apr-20,8,,,,,
Angola,AGO,4-Apr-20,8,,,,,
Angola,AGO,5-Apr-20,10,,,,,
